sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
3,31.41,1,4.11,1,72.3,0
2,50.33,4,12.66,3,30.34,0
6,79.05,0,13.58,2,6.79,0
3,73.47,1,1.0,3,53.71,1
1,64.26,4,2.5,3,91.09,1
2,16.27,3,3.21,2,40.21,0
2,54.61,2,7.93,3,42.81,0
3,9.57,2,1.56,2,92.2,1
1,37.98,1,1.44,2,67.51,0
6,41.52,2,28.79,4,69.73,0
4,4.9,1,16.31,3,55.64,0
7,27.85,3,1.99,4,92.71,1
2,94.65,1,5.22,6,67.0,1
4,94.46,1,4.39,3,85.55,1
3,35.53,2,15.65,3,67.94,0
2,5.22,5,7.14,0,71.16,0
6,18.55,5,1.37,5,31.14,1
6,39.44,1,13.43,2,32.31,0
6,93.88,3,5.06,1,75.47,1
3,14.84,5,3.05,4,31.7,0
3,75.82,1,4.71,4,55.65,1
1,11.65,5,6.89,3,27.44,0
5,97.16,0,4.2,4,78.53,1
2,38.4,3,2.77,1,14.95,0
5,76.97,3,5.08,4,79.65,1
3,34.57,1,1.0,1,59.25,0
5,62.51,0,14.81,5,21.82,0
4,19.82,1,1.87,0,53.78,0
1,15.31,3,1.0,2,30.42,0
3,92.93,2,10.6,2,34.11,1
4,90.93,1,14.87,1,36.64,1
4,87.97,6,16.81,4,10.7,1
1,62.29,0,6.8,1,93.74,1
5,80.21,0,2.3,4,7.84,1
2,7.77,3,13.36,2,64.62,0
3,33.81,3,12.03,1,38.41,0
3,31.74,1,2.83,1,63.14,0
4,63.29,5,23.37,3,37.06,0
2,35.88,4,1.1,2,65.64,1
2,15.55,2,36.0,0,70.63,0
3,59.45,3,19.68,3,67.15,1
2,80.81,4,11.64,1,15.26,0
2,38.45,0,27.93,0,64.12,0
2,13.96,2,12.81,6,30.2,0
5,20.28,1,2.11,2,7.59,0
4,24.27,3,5.84,5,42.33,0
4,30.39,5,1.0,2,44.02,1
4,63.99,4,4.94,4,47.05,1
4,59.89,2,13.53,1,68.43,1
4,69.22,3,4.88,3,32.8,1
0,36.53,2,4.01,1,33.38,0
1,81.75,3,9.05,0,10.45,0
4,21.0,2,20.57,2,66.81,0
1,46.97,1,1.0,1,56.1,0
4,79.49,4,4.87,1,36.45,1
1,18.66,0,1.72,3,68.47,0
2,11.77,2,11.89,1,53.36,0
2,87.6,2,1.12,3,47.23,1
1,34.61,1,10.93,1,51.02,0
4,68.02,4,3.37,4,62.27,1
7,3.48,4,2.22,3,64.4,1
3,68.62,3,27.54,5,31.01,0
4,31.98,3,1.0,5,17.67,0
6,6.46,5,5.76,1,19.1,0
5,60.76,2,1.0,3,62.55,1
3,24.6,1,6.61,2,83.56,0
2,38.91,2,6.95,2,41.85,0
3,8.9,2,3.88,5,20.26,0
3,15.42,4,1.42,5,73.09,1
1,30.2,1,4.72,2,79.92,0
5,9.8,3,11.16,0,84.25,0
2,90.26,6,15.25,4,59.61,1
3,1.59,4,7.57,3,82.47,0
6,48.42,4,8.91,5,6.39,1
4,13.08,2,2.24,0,14.65,0
4,31.15,2,3.39,1,13.33,0
5,91.75,5,1.77,2,69.13,1
3,16.85,2,2.87,1,11.26,0
1,95.65,1,2.55,4,49.67,1
0,21.17,2,7.33,1,47.54,0
4,73.67,4,8.27,4,32.96,1
0,54.57,2,28.99,0,83.34,0
2,87.68,4,2.18,0,20.34,1
1,55.29,1,10.26,3,36.72,0
3,53.39,3,17.0,4,74.68,1
1,20.15,5,8.22,4,7.74,0
3,17.29,4,2.94,3,65.57,1
4,90.82,1,3.05,1,78.48,1
3,33.13,2,1.0,2,88.9,1
3,37.46,2,3.64,1,83.87,1
2,75.46,7,13.65,3,33.74,1
2,34.2,2,1.0,3,57.77,0
3,94.3,3,2.48,3,11.96,1
1,73.32,3,12.25,0,28.21,0
2,59.55,5,15.26,1,13.48,0
4,87.33,3,6.08,0,33.37,1
6,5.86,2,11.98,2,83.77,0
5,26.19,2,4.91,4,36.25,0
1,46.57,1,1.74,2,55.57,0
3,23.24,3,5.08,3,44.0,0
4,73.9,5,8.67,4,46.3,1
2,91.08,3,29.58,2,92.26,1
5,42.53,2,1.0,3,31.65,1
2,34.53,2,7.08,3,61.46,0
5,95.23,3,3.99,3,42.81,1
3,44.6,2,7.1,1,10.5,0
3,48.93,4,1.0,2,49.04,1
6,35.46,3,3.75,1,78.2,1
4,90.14,3,17.14,0,13.89,0
9,56.76,0,8.07,2,11.26,1
3,75.69,2,5.99,1,18.83,0
2,80.56,4,3.36,7,73.8,1
3,34.5,2,3.54,1,70.16,1
2,43.5,0,4.83,2,55.85,0
5,84.15,1,18.05,2,47.14,1
4,36.6,1,34.18,5,84.95,0
3,78.81,2,5.77,2,74.0,1
5,93.22,3,5.0,2,78.07,1
3,62.07,3,18.74,0,78.19,1
1,73.68,3,5.57,1,62.84,1
3,79.9,1,8.03,0,46.22,1
8,83.81,3,2.63,4,82.82,1
2,39.72,2,13.61,1,88.34,0
2,6.02,0,7.59,4,7.14,0
5,40.38,1,16.56,3,9.64,0
2,67.03,2,15.17,2,91.29,1
4,45.13,3,2.42,2,29.94,1
1,74.4,3,12.57,3,83.6,1
3,35.98,1,16.1,3,39.99,0
8,63.2,4,4.25,2,15.72,1
3,19.27,3,1.89,3,12.24,0
5,74.44,2,1.0,3,19.09,1
6,54.48,4,5.99,5,27.49,1
5,21.0,2,4.35,0,48.97,0
5,29.61,3,8.09,1,68.13,1
4,74.36,5,2.08,3,93.78,1
3,48.29,3,19.64,3,44.74,0
8,22.17,3,2.98,1,51.64,1
2,95.79,2,2.57,0,51.96,1
4,71.08,1,6.55,1,53.55,1
0,94.8,4,6.91,3,51.6,1
1,42.86,1,2.42,1,5.79,0
7,47.56,4,3.17,4,5.16,1
4,89.0,1,1.86,1,13.79,1
5,52.45,4,12.67,1,14.14,0
1,70.31,2,14.7,2,68.44,1
5,25.71,1,6.21,3,23.44,0
1,44.78,2,12.52,3,85.52,0
2,13.1,4,13.32,1,88.57,0
1,21.19,0,1.49,3,92.83,0
5,1.09,4,33.87,2,89.52,0
3,4.85,0,17.21,3,29.47,0
1,96.77,1,2.29,3,50.88,1
2,24.75,3,2.06,3,20.79,0
2,66.0,1,1.34,3,77.56,1
3,83.23,4,1.49,5,84.96,1
4,54.96,2,13.79,5,81.62,1
3,16.01,3,6.34,4,44.0,0
2,72.36,4,15.28,1,73.28,1
3,59.82,5,13.71,4,13.78,0
6,72.66,6,9.28,2,8.62,1
6,76.44,4,11.6,1,72.79,1
5,96.59,3,1.0,2,43.28,1
4,57.21,3,3.74,2,94.6,1
1,34.48,2,10.16,7,13.75,0
4,64.55,2,1.0,4,82.01,1
3,7.71,2,1.0,2,48.2,0
3,88.94,4,19.1,3,79.44,1
2,12.7,2,11.52,3,78.54,0
5,33.13,3,3.08,5,87.44,1
3,80.94,2,11.65,4,31.81,1
5,59.54,2,15.72,1,90.48,1
3,39.58,4,3.66,2,18.65,0
0,47.4,1,1.0,2,12.38,0
5,84.75,1,27.0,3,43.85,1
1,34.32,8,4.23,3,79.55,1
2,86.23,4,1.13,6,47.61,1
2,9.64,0,6.77,0,79.64,0
4,77.13,2,14.63,2,70.67,1
5,84.06,4,2.51,2,23.85,1
2,18.82,0,3.14,2,90.4,0
2,43.17,3,2.78,5,10.47,0
4,17.22,2,36.0,0,85.85,0
0,70.25,0,2.2,2,32.4,0
3,53.46,1,8.57,1,50.01,0
0,63.26,2,25.94,4,43.01,0
2,20.26,1,1.59,1,20.47,0
3,21.75,1,35.35,2,37.23,0
3,5.07,4,29.47,1,22.36,0
3,32.56,3,21.59,4,23.35,0
4,55.85,2,2.42,1,21.84,0
0,85.08,3,10.05,2,49.01,1
4,66.36,3,14.31,4,76.81,1
0,43.67,2,36.0,3,56.21,0
6,94.41,6,1.99,6,85.39,1
6,71.49,4,14.53,4,62.29,1
0,92.16,1,4.14,0,67.04,1
5,52.7,2,1.93,1,65.08,1
1,26.37,3,5.47,1,45.45,0
4,6.18,3,15.79,2,67.04,0
2,72.16,5,6.25,0,11.27,0
1,12.89,2,7.71,5,82.39,0
3,30.67,2,36.0,5,75.0,0
3,53.18,5,5.09,6,27.07,1
6,56.31,2,9.56,0,74.12,1
0,59.86,2,4.55,2,6.14,0
3,17.29,1,4.99,3,24.55,0
6,38.21,3,11.9,2,10.86,0
2,61.49,4,27.79,5,75.22,1
3,96.04,6,7.82,3,73.03,1
3,72.31,2,14.63,5,78.23,1
2,91.42,5,1.0,2,5.4,1
7,75.7,4,2.37,1,50.11,1
4,58.99,7,6.97,4,68.44,1
3,19.82,3,1.0,1,18.99,0
3,66.34,2,2.91,3,63.48,1
1,62.09,4,7.29,0,12.57,0
1,60.04,4,1.0,2,21.32,0
2,49.0,6,3.07,1,47.82,1
2,52.81,2,7.22,6,63.82,1
6,33.78,3,8.51,2,18.13,0
1,51.89,2,26.0,3,21.67,0
4,20.36,1,10.37,3,23.4,0
5,79.91,4,5.36,0,26.48,1
3,19.21,5,26.64,0,25.39,0
1,9.33,5,15.37,1,40.56,0
3,43.75,5,2.23,0,63.84,1
4,65.51,3,1.4,2,44.42,1
4,43.9,5,11.26,2,74.84,1
0,28.12,3,8.21,5,69.73,0
2,55.7,0,15.59,1,16.39,0
4,35.01,2,13.42,3,9.4,0
2,92.42,2,9.81,1,84.01,1
3,91.42,3,36.0,5,12.18,0
5,50.23,3,7.63,0,18.35,0
1,33.13,4,1.2,2,6.99,0
4,73.24,4,17.62,1,61.55,1
2,4.6,3,2.9,2,57.41,0
1,47.53,2,15.02,2,93.82,0
3,33.96,2,31.49,1,84.82,0
4,91.21,3,11.93,1,41.98,1
8,2.18,1,9.06,4,38.44,0
3,55.18,3,6.17,4,31.72,1
6,73.59,4,4.53,2,18.72,1
4,48.53,3,4.35,0,17.43,0
1,9.37,2,10.12,1,16.91,0
1,96.3,1,13.91,6,15.27,0
8,51.77,2,11.35,1,26.65,1
3,61.19,0,2.21,5,32.6,1
3,24.19,3,6.81,1,91.54,1
3,48.38,2,15.68,5,57.06,0
3,43.06,1,6.46,3,93.88,1
4,8.34,3,7.69,1,38.52,0
1,11.4,5,14.75,1,46.19,0
0,83.07,3,10.83,3,34.21,0
3,24.5,3,5.27,5,21.46,0
0,20.11,1,22.58,2,17.88,0
3,50.48,4,1.77,1,90.06,1
3,76.34,5,36.0,0,93.81,1
0,7.07,3,1.27,2,9.04,0
2,57.53,3,1.0,6,18.53,1
1,12.68,1,22.07,1,43.12,0
2,4.57,3,2.81,4,21.77,0
4,6.17,2,13.08,4,37.75,0
4,82.75,1,16.66,1,16.62,0
1,12.56,3,19.59,1,46.09,0
3,5.42,2,36.0,1,29.45,0
3,43.91,1,3.48,2,36.67,0
2,83.71,2,12.39,4,13.49,0
2,26.72,1,1.23,4,43.53,0
3,42.33,4,5.22,2,93.49,1
3,4.91,1,18.84,3,34.59,0
2,45.01,3,4.58,2,83.88,1
2,57.61,3,8.94,2,80.89,1
1,56.95,1,7.01,4,90.69,1
0,33.58,2,10.38,1,76.11,0
3,31.92,3,36.0,1,64.36,0
4,11.45,2,1.0,1,82.09,1
4,36.95,4,8.53,3,11.81,0
3,10.75,2,19.88,2,46.65,0
3,76.13,2,6.57,6,94.03,1
7,95.69,2,1.0,2,74.26,1
3,96.07,1,8.22,2,91.59,1
4,85.78,2,4.04,3,75.17,1
5,59.88,5,1.68,3,83.74,1
1,69.68,2,18.91,1,68.59,0
5,28.95,1,7.37,2,73.45,1
2,62.82,4,27.07,2,52.09,0
7,45.65,3,16.4,5,88.18,1
4,48.24,2,11.81,3,79.25,1
4,75.26,2,1.0,3,80.95,1
1,28.63,3,5.58,2,65.57,0
2,32.17,3,2.2,4,32.41,0
4,91.61,1,24.17,0,8.21,0
1,6.51,3,1.92,1,89.21,0
1,48.59,4,3.37,3,57.75,1
0,90.45,4,7.27,2,31.83,1
3,60.82,2,3.06,2,18.42,0
3,54.55,2,2.36,4,79.66,1
4,25.47,1,9.14,0,80.29,0
2,34.64,6,1.0,6,78.31,1
3,84.5,4,1.0,1,63.06,1
6,55.8,3,4.66,3,37.94,1
2,51.44,2,12.75,2,32.37,0
2,10.76,2,8.09,1,5.77,0
